step_id	state	goal	tdd_red_change	green_change	refactor_change	commit_message
00	DONE	Create migration scaffold without breaking current suite.	-	Generalize runner with NMO resolution, suite overrides, and import-dir synthesis.	Keep current suite behavior stable.	feat: add profile-ready runner scaffold with NMO resolution and import-dir synthesis
01	DONE	Freeze final vocabulary as independent responsibilities.	-	Add nextgen final spec inventory and migration steps inventory.	Keep vocabulary separate from current rule file.	docs: freeze nextgen final spec inventory and migration ladder
02	DONE	Split semantic core from provenance audit in parallel nextgen suite.	Add red cases for semantic-without-provenance and provenance-run-missing-origin-view.	Implement nextgen semantic_core and provenance_audit rules plus manifests and passing green cases.	Share runner overrides instead of duplicating scripts.	feat: add nextgen semantic/provenance split suites
03	DONE	Make decomposition origin revision explicit.	Add red cases for RunSupersedes without parent run and emitted target without run.	Keep provenance revision rules green with explicit predecessor/successor coverage.	Reuse parallel provenance suite manifests and keep naming stable.	feat: enforce decomposition run revision invariants
04	DONE	Add semantic target graph refinement.	Add red cases for Refines cycle and orphan refinement.	Implement nextgen semantic_graph rules with acyclic refinement invariants.	Keep graph helpers isolated in a dedicated semantic_graph suite.	feat: add target refinement graph invariants
05	DONE	Add target dependency semantics.	Add red cases for dependency without mode and sufficient/necessary misuse.	Implement nextgen semantic_dependency rules for DependsOn + DependencyMode.	Keep dependency edge validation separate from verdict propagation.	feat: add dependency mode semantics
06	DONE	Separate evidence obligation from fixture.	Add red cases for exact target missing EvidenceObligation and fixture mistaken as evidence.	Implement EvidenceObligation rule family and keep fixture outside strict.	Rename witness wording in docs to evidence obligation where needed.	feat: separate evidence obligations from fixtures
07	DONE	Introduce contract-set driven test spec layer.	Add red cases for target without TestContractSet and test case without contract set.	Implement TestContractSet/TestCase spec layer.	Remove direct implementation language from strict docs.	feat: add contract-set driven executable spec layer
08	DONE	Connect implementation satisfier to multi-test responsibility.	Add red cases for implementation satisfying only one of several generated tests.	Implement implementation satisfaction join rules in nextgen suite.	Keep implementation outside source of truth.	feat: encode implementation as multi-test satisfier
09	DONE	Rebuild runtime obligation layer on nextgen vocabulary.	Add red cases for usecase missing runtime obligations/budgets/trace binding.	Implement nextgen runtime/usecase rules.	Align names with independent responsibility inventory.	feat: add nextgen runtime obligation contracts
10	DONE	Lift whole-system trace into nextgen split model.	Add red cases for semantic success blocked by audit failure separation.	Implement separate semantic verdict vs audit verdict outputs.	Refactor shared output normalization for dual verdicts.	feat: split semantic verdicts from audit verdicts
11	DONE	Backfill migration docs and parity matrix.	Add red doc checks if needed.	Document old->new vocabulary mapping and parity gaps.	Prune superseded design notes.	docs: add old-to-nextgen parity matrix
12	DONE	Decide switchover gate.	Add final parity acceptance red checklist.	Green all nextgen suites and define cutover conditions.	Freeze deprecated path.	chore: declare nextgen cutover gate
